"entity","tTestQVal","inContextMean","outGroupMean","effectSize","fractionInContextLinesDependent","fractionOutGroupLinesDependent","selectivityVal"
"STN1 (79991)","0","-0.685","-0.428","-0.257","0.674","0.395","0.502"
"SUPT4H1 (6827)","0","-0.897","-0.623","-0.273","0.86","0.721","0.378"
"TADA1 (117143)","0.002","-0.519","-0.263","-0.257","0.465","0.299","0.309"
"TAFAZZIN (6901)","0","-0.926","-0.427","-0.499","0.791","0.347","0.851"
"TFRC (7037)","0","-1.499","-0.915","-0.583","0.977","0.731","1.19"
"TIMM50 (92609)","0.012","-0.809","-0.419","-0.39","0.186","0.123","2"
"TMX2 (51075)","0","-0.683","-0.407","-0.276","0.744","0.416","0.612"
"TRPM7 (54822)","0","-1.159","-0.711","-0.448","0.93","0.619","0.915"
"TSC2 (7249)","0","-0.458","-0.08","-0.378","0.465","0.178","0.602"
"TYMS (7298)","0.011","-1.124","-0.764","-0.36","0.791","0.503","0.572"
"UMPS (7372)","0","-1.153","-0.57","-0.583","0.86","0.446","0.884"
"UROD (7389)","0","-1.101","-0.725","-0.377","0.884","0.631","0.648"
"UROS (7390)","0","-0.531","-0.19","-0.342","0.488","0.114","0.871"
"WDR1 (9948)","0.013","-1.147","-0.864","-0.282","0.907","0.715","0.59"
"WDR36 (134430)","0.003","-2.28","-1.707","-0.573","0.186","0.304","2"
"WSB1 (26118)","0","-0.287","-0.003","-0.284","0.233","0.01","1.494"
"YRDC (79693)","0.046","-2.392","-1.992","-0.4","1","0.887","2"
"ZEB2 (9839)","0","-0.767","-0.342","-0.426","0.674","0.191","0.944"
"ZFP36L2 (678)","0","-0.576","-0.251","-0.324","0.605","0.143","0.964"
"ZFPM1 (161882)","0","-0.36","-0.078","-0.282","0.256","0.009","1.59"
"ZMYND8 (23613)","0","-0.705","-0.382","-0.323","0.628","0.319","0.556"
