"entity","tTestQVal","inContextMean","outGroupMean","effectSize","fractionInContextLinesDependent","fractionOutGroupLinesDependent","selectivityVal"
"MED19 (219541)","0","-0.761","-0.502","-0.259","0.817","0.572","0.525"
"MED23 (9439)","0","-0.511","-0.164","-0.347","0.398","0.189","0.451"
"MED24 (9862)","0","-0.796","-0.437","-0.359","0.796","0.441","0.693"
"MEF2C (4208)","0","-0.341","-0.001","-0.34","0.28","0.012","1.508"
"MEN1 (4221)","0","-0.631","-0.365","-0.266","0.548","0.331","0.39"
"MICOS10 (440574)","0","-0.805","-0.518","-0.287","0.742","0.458","0.531"
"MIOS (54468)","0","-0.723","-0.43","-0.293","0.785","0.403","0.732"
"MLST8 (64223)","0","-0.975","-0.722","-0.254","0.892","0.742","0.46"
"MMGT1 (93380)","0","-0.667","-0.378","-0.288","0.742","0.353","0.721"
"MRPL43 (84545)","0","-1.032","-0.769","-0.263","0.903","0.768","0.451"
"MRPS16 (51021)","0","-0.93","-0.672","-0.258","0.935","0.719","0.753"
"MTHFD1 (4522)","0","-0.723","-0.273","-0.45","0.774","0.231","1.056"
"MYB (4602)","0","-0.874","-0.336","-0.538","0.634","0.139","1.031"
"N6AMT1 (29104)","0","-0.733","-0.45","-0.284","0.71","0.434","0.504"
"NAMPT (10135)","0","-0.998","-0.422","-0.576","0.892","0.291","1.306"
"NFKB1 (4790)","0","-0.22","0.03","-0.25","0.183","0.001","2.388"
"NMNAT1 (64802)","0","-1.224","-0.35","-0.874","0.903","0.196","1.584"
"NMT1 (4836)","0","-0.978","-0.718","-0.26","0.914","0.708","0.641"
"OGDH (4967)","0","-0.774","-0.473","-0.302","0.849","0.484","0.779"
"PAICS (10606)","0","-1.104","-0.554","-0.55","0.968","0.463","1.542"
"PAX5 (5079)","0","-0.492","-0.061","-0.431","0.452","0.003","2.476"
"PAXIP1 (22976)","0","-0.488","-0.211","-0.277","0.495","0.232","0.51"
"PCYT2 (5833)","0","-0.37","-0.103","-0.267","0.301","0.046","0.954"
"PDCD10 (11235)","0","-0.076","0.258","-0.333","0.108","0.012","1"
"PEDS1 (387521)","0","-0.348","-0.087","-0.26","0.247","0.018","1.246"
"PET117 (100303755)","0","-0.684","-0.361","-0.324","0.634","0.328","0.553"
"PFAS (5198)","0","-0.886","-0.415","-0.471","0.849","0.324","1.071"
"PFN1 (5216)","0","-1.158","-0.827","-0.33","0.925","0.777","0.548"
"PGD (5226)","0","-1.314","-0.998","-0.316","0.989","0.795","1.375"
"PIK3CD (5293)","0","-0.424","-0.144","-0.28","0.355","0.026","1.321"
"PIM2 (11040)","0","-0.445","-0.141","-0.303","0.366","0.004","2.196"
"PMM2 (5373)","0","-0.674","-0.301","-0.373","0.656","0.271","0.71"
"POU2AF1 (5450)","0","-0.655","-0.018","-0.638","0.505","0.005","2.347"
"PPAT (5471)","0","-0.917","-0.548","-0.369","0.946","0.51","1.229"
"PPCDC (60490)","0","-0.723","-0.188","-0.535","0.71","0.117","1.265"
"PPCS (79717)","0","-0.621","-0.299","-0.322","0.613","0.149","0.956"
"PPIL1 (51645)","0","-1.039","-0.736","-0.303","0.914","0.729","0.596"
"RAB6A (5870)","0","-0.885","-0.6","-0.285","0.871","0.535","0.768"
"RARS2 (57038)","0","-0.888","-0.634","-0.253","0.849","0.628","0.525"
"RFK (55312)","0","-0.764","-0.402","-0.362","0.774","0.317","0.868"
"RHOA (387)","0","-0.848","-0.408","-0.44","0.667","0.374","0.524"
"RNASEK (440400)","0.001","-0.874","-0.522","-0.352","0.129","0.177","0.658"
"RPL13A (23521)","0.092","-2.34","-2.028","-0.313","0.151","0.312","2"
"RUNX1 (861)","0","-0.304","0.008","-0.312","0.28","0.033","1.057"
